region,SOC_label,age group,Observation
Wales,"Managers, directors and senior officials",Aged 50 to 64 years,52456
Wales,"Managers, directors and senior officials",Aged 65 years and over,9931
Wales,Professional occupations,Aged 24 years and under,12991
Wales,Professional occupations,Aged 25 to 34 years,62003
Wales,Professional occupations,Aged 35 to 49 years,95878
Wales,Professional occupations,Aged 50 to 64 years,70030
Wales,Professional occupations,Aged 65 years and over,8564
Wales,Associate professional and technical,Aged 24 years and under,14602
Wales,Associate professional and technical,Aged 25 to 34 years,42130
Wales,Associate professional and technical,Aged 35 to 49 years,56778
Wales,Associate professional and technical,Aged 50 to 64 years,42507
Wales,Associate professional and technical,Aged 65 years and over,5256
Wales,Administrative and secretarial,Aged 24 years and under,10011
Wales,Administrative and secretarial,Aged 25 to 34 years,25753
Wales,Administrative and secretarial,Aged 35 to 49 years,40240
Wales,Administrative and secretarial,Aged 50 to 64 years,45369
Wales,Administrative and secretarial,Aged 65 years and over,6744
Wales,Skilled trades,Aged 24 years and under,18164
Wales,Skilled trades,Aged 25 to 34 years,33705
Wales,Skilled trades,Aged 35 to 49 years,49098
Wales,Skilled trades,Aged 50 to 64 years,53079
Wales,Skilled trades,Aged 65 years and over,12567
Wales,"Caring, leisure and other services",Aged 24 years and under,20568
Wales,"Caring, leisure and other services",Aged 25 to 34 years,35873
Wales,"Caring, leisure and other services",Aged 35 to 49 years,44418
Wales,"Caring, leisure and other services",Aged 50 to 64 years,46171
Wales,"Caring, leisure and other services",Aged 65 years and over,5999
Wales,Sales and customer services,Aged 24 years and under,26638
Wales,Sales and customer services,Aged 25 to 34 years,26425
Wales,Sales and customer services,Aged 35 to 49 years,26373
Wales,Sales and customer services,Aged 50 to 64 years,29938
Wales,Sales and customer services,Aged 65 years and over,5184
Wales,"Process, plant and machine operatives",Aged 24 years and under,7961
Wales,"Process, plant and machine operatives",Aged 25 to 34 years,19259
Wales,"Process, plant and machine operatives",Aged 35 to 49 years,32894
Wales,"Process, plant and machine operatives",Aged 50 to 64 years,41088
Wales,"Process, plant and machine operatives",Aged 65 years and over,6273
Wales,Elementary occupations,Aged 24 years and under,28145
Wales,Elementary occupations,Aged 25 to 34 years,28251
Wales,Elementary occupations,Aged 35 to 49 years,36690
Wales,Elementary occupations,Aged 50 to 64 years,43795
Wales,Elementary occupations,Aged 65 years and over,7101
